אל-בטוף,"חמאם, עוזייר, רומאנה, רומת הייב "
חבל יבנה,"בית גמליאל, בית רבן, בן זכאי, בני דרום, כרם יבנה (ישיבה), ניר גלים, קבוצת יבנה"
חבל מודיעין,"אחיסמך, בארות יצחק, בית נחמיה, בית עריף, בן שמן (כפר נוער), בן שמן (מושב), בני עטרות, ברקת, גבעת כ""ח, גינתון, גמזו, חדיד, טירת יהודה, כפר דניאל, כפר טרומן, כפר רות, כרם בן שמן , לפיד, מבוא מודיעים, מזור, נופך, נחלים, רינתיה, שילת"
חוף אשקלון,"בית שקמה, ברכיה, בת הדר, גברעם, גיאה, הודיה, זיקים, חלץ, יד מרדכי, כוכב מיכאל, כפר סילבר, כרמיה, מבקיעים, משען, ניצן, ניצנים,ניר ישראל, נתיב העשרה, תלמי יפה"
חוף הכרמל,"בית אורן, בית חנניה, בית צבי, בת שלמה, גבע כרמל, דור, הבונים, החותרים, כפר גלים, כרם מהר""ל, מאיר שפיה, מגדים, מעגן מיכאל,מעין צבי, נווה ים, נחשולים, ניר עציון, עופר, עין איילה, עין הוד, עין חוד, עין כרמל, צרופה, קיסריה, שדות ים"
חוף השרון,"אודים, ארסוף, בית יהושע, בני ציון, בצרה, גליל ים, געש, חרוצים, יקום, כפר נטר, רשפון, שפיים, תל יצחק"
יואב,"אל-עזי, בית גוברין, בית ניר, גלאון, גת (קיבוץ), ורדון, כפר הרי""ף, כפר מנחם, נגבה, נחלה, סגולה, קדמה, רבדים, שדה יואב"
לב השרון,"בני דרור, גאולים, גנות הדר, חירות, ינוב, יעף, כפר הס, כפר יעבץ, כפר עבודה, משמרת, נורדיה, ניצני עוז, עזריאל, עין ורד, עין שריד, פורת,צור משה, שער אפרים, תנובות"
לכיש,"אחוזם, אמציה, זוהר, יד נתן, לכיש, מנוחה, נהורה, נוגה, ניר ח""ן, עוצם, שדה דוד, שדה משה, שחר, שקף, תלמים"
מבואות החרמון,"אליפלט, אמנון, בית הלל, דישון, יובל, כורזים, כחל, כרכום, מרגליות, משמר הירדן, רמות נפתלי, שאר ישוב, שדה אליעזר"
מגידו,"אליקים, גבעת עוז, גלעד (אבן יצחק) , דליה, הזורע, יקנעם (מושבה), מגידו, מדרך עוז, משמר העמק, עין העמק, עין השופט, רמות מנשה,רמת השופט"
מגילות ים המלח,"אלמוג, בית הערבה, ורד יריחו, מצפה שלם, קליה "
מטה אשר,"אדמית, אחיהוד, אילון, אפק, אשרת, בוסתן הגליל, בית העמק, בן עמי, בצת, געתון, גשר הזיו, חניתה, חצרות יסף, יחיעם, יסעור, כברי, כליל,כפר מסריק, כפר ראש הנקרה, לוחמי הגיטאות, לימן, מצובה, נס עמים,נתיב השיירה, סער, עברון, עין המפרץ, עמקה , עראמשה, רגבה, שייח' דנון, שמרת"
מטה בנימין,"בית חורון, גבע בנימין, גבעון החדשה, דולב, חלמיש, חשמונאים, טלמון, כוכב השחר, כוכב יעקב, כפר אדומים, כפר האורנים, מבוא חורון, מעלה לבונה, מעלה מכמש, מצפה יריחו, מתתיהו, נחליאל, ניל""י, נעלה,עופרים, עטרת, עלי, עלמון, עפרה, פסגות, רימונים, שילה"
מטה יהודה,"אביעזר, אבן ספיר, אדרת, אורה, איתנים, אשתאול, בית זית, בית מאיר, בית נקופה, בקוע, בר גיורא, גבעת יערים, גבעת ישעיהו, גבעת שמש, גיזו, גפן, דייר ראפאת, הראל, זכריה, זנוח, טל שחר, יד השמונה, ידידה, ישעי, כסלון, כפר אוריה, לוזית, מבוא ביתר, מוצא עילית, מחסיה, מטע, מסילת ציון, מעלה החמישה, נווה אילן, נווה מיכאל, נווה שלום, נחושה, נחם, נחשון, נטף, נס הרים, נתיב הל""ה,עגור, עין כרם-בי""ס חקלאי, עין נקובא, עין ראפה, עמינדב, צובה, צור הדסה, צלפון, צפרירים, צרעה, קרית יערים (מוסד), קרית ענבים, רמת רזיאל, רמת רחל, שדות מיכה, שואבה, שורש, שריגים (לי-און), תירוש,תעוז, תרום"
מנשה,"אום אל-קוטוף, אל-עריאן, אלוני יצחק, ברקאי, גן השומרון, גן שמואל, כפר גליקסון, כפר פינס, להבות חביבה, מאור, מגל, מי עמי, מייסר,מענית, מצר, משמרות, עין עירון, עין שמר, רגבים, שדה יצחק, שער מנשה, תלמי אלעזר"
מעלה יוסף,"אבירים, אבן מנחם, אלקוש, גורן, גורנות הגליל, גיתה, הילה, חוסן, יערה, כפר רוזנואלד (זרעית), לפידות, מנות, מעונה, מתת, נווה זיו,נטועה, עבדון, עין יעקב, פקיעין חדשה, צוריאל, שומרה, שתולה"
מרום הגליל,"אביבים, אור הגנוז, אמירים, ביריה, בר יוחאי, דוב""ב, דלתון, חזון, טפחות, כלנית, כפר חושן, כפר חנניה, כפר שמאי, כרם בן זמרה,לבנים, מירון, עין אל-אסד, עלמה, עמוקה, פרוד, ריחאניה, שזור, שפר"
מרחבים,"אשבול, אשל הנשיא, בטחה, גילת, מבועים, מסלול, ניר משה, ניר עקיבא, פדויים, פטיש, פעמי תש""ז, קלחים, רנן, שדה צבי, תלמי ביל""ו,תפרח"
משגב,"אבטליון, אשחר, גילון, דמיידה, הררית, חוסנייה, חלוץ, חרשים, טל-אל, יובלים, יודפת, יעד, כמאנה, כמון, לבון, לוטם, מורן, מורשת, מכמנים,מנוף, מצפה אבי""ב, סלמה, צביה, צורית, קורנית, ראס אל-עין, רקפת,שגב, שורשים, שכניה, תובל"
נחל שורק,"בית חלקיה, בני ראם, חפץ חיים, יד בנימין, יסודות "
עמק הירדן,"אלומות, אלמגור, אפיקים, אשדות יעקב (איחוד), אשדות יעקב (מאוחד), בית זרע, גינוסר, דגניה א', דגניה ב', האון, חוקוק, כנרת (קבוצה), מסדה, מעגן, עין גב, פוריה - כפר עבודה, פוריה - נווה עובד,פוריה עילית, שער הגולן, תל קציר"
עמק חפר,"אביחיל, אומץ, אחיטוב, אלישיב, בארותיים, בורגתה, בחן, בית הלוי, בית חירות, בית ינאי, בית יצחק-שער חפר, ביתן אהרן, בת חפר, גאולי תימן, גבעת חיים (איחוד), גבעת חיים (מאוחד), גבעת שפירא, גן יאשיה, הדר עם, המעפיל, העוגן, חבצלת השרון, חגלה, חופית, חיבת ציון, חניאל, חרב לאת, יד חנה, כפר הרא""ה, כפר ויתקין, כפר חיים,כפר ידידיה, כפר מונש, מבואות ים, מכמורת, מעברות, משמר השרון,נעורים, עולש, עין החורש, צוקי ים, שושנת העמקים"
עמק יזרעאל,"אחוזת ברק, אלון הגליל, אלוני אבא, אלונים, בית זיד, בית לחם הגלילית, בית שערים, בלפוריה, גבעת אלה, גבת, גזית, גיניגר, דברת,הושעיה, היוגב, הסוללים, הרדוף, חנתון, יפעת, כפר ברוך, כפר גדעון,כפר החורש, כפר יהושע, מזרע, מנשית זבדה, מרחביה (מושב),מרחביה (קיבוץ), נהלל, סואעד (חמרייה), סואעד (כמאנה), עדי, עין דור, ציפורי, רמת דוד,שדה יעקב, שמשית, שריד, תל עדשים, תמרת"
עמק לוד,"אחיעזר, גנות, זיתן, חמד, יגל, כפר חב""ד, משמר השבעה, ניר צבי, צפריה"
ערבות הירדן,"ארגמן, בקעות, גיתית, גלגל, חמדת, חמרה, ייט""ב, יפית, מחולה, מכורה, משואה, נח""ל אלישע, נח""ל משכיות, נח""ל רותם, נירן, נעמי,נתיב הגדוד, פצאל, רועי, שדמות מחולה, תומר"
רמת נגב,"אשלים, טללים, כמהין, מדרשת בן גוריון, משאבי שדה, ניצנה (קהילת חינוך), ניצני סיני, רביבים, רתמים, שדה בוקר"
שדות נגב,"בית הגדי, גבעולים, זמרת, זרועה, יושיביה, כפר מימון, מלילות, מעגלים, סעד, עלומים, שובה, שוקדה, שיבולים, שרשרת, תושיה,תקומה"
שומרון,"אבני חפץ, איתמר, אלון מורה, ברכה, ברקן, חיננית, חרמש, יצהר, יקיר, כפר תפוח, מבוא דותן, מגדלים, מעלה שומרון, נופים, סלעית, עלי זהב, ענב, עץ אפרים, פדואל, צופים, קרית נטפים, רבבה, ריחן,  שבי שומרון, שערי תקווה, שקד"
שער הנגב,"אור הנר, ארז, ברור חיל, גבים, דורות, יכיני, כפר עזה, מפלסים, נחל עוז, ניר עם, רוחמה"
שפיר,"אבן שמואל, איתן, אלומה, זבדיאל, זרחיה, מרכז שפירא, משואות יצחק, נועם, עוזה, עין צורים, קוממיות, רווחה, שלווה, שפיר"
תמר,"נאות הכיכר, נווה זוהר, עין גדי, עין חצבה, עין תמר"
